key,0,1,2,3,4,5,6,7,8,9,10,11,13,14
#,Name,CPCost,DurabilityCost,ProgressEfficiency,QualityEfficiency,InnerQuietIncrease,SuccessRate,IsWait3,IsFirstStep,Duration,GiveBuff,BuffName,,
type,string,int,int,int,int,int,int,boolean,boolean,int,boolean,string,,
0,Basic Synthesis,0,10,100,0,0,100,TRUE,FALSE,0,FALSE,N/A,,
1,Careful Synthesis,7,10,150,0,0,100,TRUE,FALSE,0,FALSE,N/A,,
2,Rapid Synthesis,0,10,500,0,0,50,TRUE,FALSE,0,FALSE,N/A,,
3,Focused Synthesis,5,10,200,0,0,50,TRUE,FALSE,0,FALSE,N/A,,
4,Muscle Memory,6,10,300,0,0,100,TRUE,TRUE,5,TRUE,Muscle Memory,,
5,Brand of the Elements,6,10,100,0,0,100,TRUE,FALSE,0,FALSE,N/A,,
6,Intensive Synthesis,6,10,300,0,0,100,TRUE,FALSE,0,FALSE,N/A,,
7,Basic Touch,18,10,0,100,1,100,TRUE,FALSE,0,FALSE,N/A,,
8,Standard Touch,32,10,0,125,1,100,TRUE,FALSE,0,FALSE,N/A,,
9,Hasty Touch,0,10,0,100,1,60,TRUE,FALSE,0,FALSE,N/A,,
10,Byregot's Blessing,24,10,0,100,0,100,TRUE,FALSE,0,FALSE,N/A,,
11,Precise Touch,18,10,0,150,2,100,TRUE,FALSE,0,FALSE,N/A,,
12,Focused Touch,18,10,0,150,1,50,TRUE,FALSE,0,FALSE,N/A,,
13,Patient Touch,6,10,0,100,0,50,TRUE,FALSE,0,FALSE,N/A,,
14,Prudent Touch,25,5,0,100,1,100,TRUE,FALSE,0,FALSE,N/A,,
15,Trained Eye,250,0,0,0,0,100,TRUE,TRUE,0,FALSE,N/A,,
16,Preparatory Touch,40,20,0,200,2,100,TRUE,FALSE,0,FALSE,N/A,,
17,Reflect,24,10,0,100,3,100,TRUE,TRUE,0,TRUE,Inner Quiet,,
18,Inner Quiet,18,0,0,0,1,100,FALSE,FALSE,0,TRUE,Inner Quiet,,
19,Waste Not,56,0,0,0,0,100,FALSE,FALSE,4,TRUE,Waste Not,,
20,Waste Not II,98,0,0,0,0,100,FALSE,FALSE,8,TRUE,Waste Not II,,
21,Ingenuity,22,0,0,0,0,100,FALSE,FALSE,5,TRUE,Ingenuity,,
22,Great Strides,32,0,0,0,0,100,FALSE,FALSE,3,TRUE,Great Strides,,
23,Innovation,18,0,0,0,0,100,FALSE,FALSE,4,TRUE,Innovation,,
24,Name of the Elements,30,0,0,0,0,100,FALSE,FALSE,3,TRUE,Name of the Elements,,
25,Final Appraisal,1,0,0,0,0,100,FALSE,FALSE,5,TRUE,Final Appraisal,,
26,Reuse,60,0,0,0,0,100,FALSE,FALSE,0,TRUE,Reuse,,
27,Master's Mend,88,0,0,0,0,100,FALSE,FALSE,0,FALSE,N/A,,
28,Manipulation,96,0,0,0,0,100,FALSE,FALSE,8,TRUE,Manipulation,,
29,Observe,7,0,0,0,0,100,FALSE,FALSE,1,TRUE,Observe,,
30,Delicate Synthesis,32,10,100,100,1,100,TRUE,FALSE,0,FALSE,N/A,,
31,Tricks of the Trade,-20,0,0,0,0,100,FALSE,FALSE,0,FALSE,N/A,,
